year_week,alpha,beta,gamma,delta,omicron,total
"2021-W01",93,4,0,0,0,14637
"2021-W02",298,53,0,0,0,10949
"2021-W03",446,133,0,0,0,10162
"2021-W04",959,99,0,0,0,9512
"2021-W05",1946,74,0,0,0,9118
"2021-W06",1883,19,0,0,0,9457
"2021-W07",3527,20,0,0,0,11632
"2021-W08",7502,87,0,0,0,14190
"2021-W09",9485,82,0,0,0,16319
"2021-W10",11310,99,1,0,0,18226
"2021-W11",12807,77,2,0,0,21092
"2021-W12",12316,60,1,0,0,22326
"2021-W13",10871,19,0,0,0,20793
"2021-W14",7970,17,1,5,0,17616
"2021-W15",8147,26,2,4,0,16822
"2021-W16",8236,24,6,6,0,15051
"2021-W17",7442,6,12,3,0,12538
"2021-W18",4984,1,22,3,0,9021
"2021-W19",3270,0,10,9,0,5737
"2021-W20",2257,5,5,8,0,4155
"2021-W21",1472,3,8,25,0,3160
"2021-W22",1198,4,9,63,0,2425
"2021-W23",875,0,3,188,0,1685
"2021-W24",419,0,0,290,0,1002
"2021-W25",202,0,1,251,0,679
"2021-W26",112,0,1,344,0,633
"2021-W27",87,0,2,749,0,1093
"2021-W28",73,1,1,1679,0,2193
"2021-W29",30,0,1,1972,0,2533
"2021-W30",14,0,3,2505,0,3251
"2021-W31",22,0,1,2758,0,3667
"2021-W32",4,1,1,4474,0,5902
"2021-W33",5,0,0,5868,0,8065
"2021-W34",3,0,0,6939,0,9437
"2021-W35",2,1,1,8376,0,11307
"2021-W36",3,0,2,9939,0,14061
"2021-W37",2,0,0,8838,0,13748
"2021-W38",0,0,0,7672,0,11764
"2021-W39",1,0,0,7713,0,12600
"2021-W40",1,0,0,7508,0,12783
"2021-W41",1,0,0,9118,0,15364
"2021-W42",0,0,0,14247,0,23858
"2021-W43",1,0,0,20783,0,34576
"2021-W44",1,0,0,23405,0,56511
"2021-W45",11,0,0,26673,0,78841
"2021-W46",9,0,0,12491,1,97323
"2021-W47",0,0,0,12659,196,82718
"2021-W48",4,0,0,15077,148,50908
"2021-W49",4,0,0,10709,114,29332
"2021-W50",0,0,0,7856,443,18880
"2021-W51",0,0,0,6206,2141,14649
"2021-W52",1,0,0,5048,8191,23156
"2022-W01",1,0,0,3515,32333,62469
"2022-W02",5,0,0,2026,43835,111656
" ",120312,915,96,248002,87402,1091582
