date,total_positive_pcr,positive_pcr,other_variants,inconclusive,confirmed_omicron,omicron_percent
29-12-2021,8,,,,,
28-12-2021,13132,,,,,
27-12-2021,25012,270,34,5,231,85.5556
26-12-2021,12292,876,119,32,725,82.7626
25-12-2021,9231,392,99,3,290,73.9796
24-12-2021,8319,262,59,3,200,76.3359
23-12-2021,14726,2652,564,61,2027,76.4329
22-12-2021,13683,1075,212,61,802,74.6047
21-12-2021,14873,2226,520,99,1607,72.1923
20-12-2021,15220,2528,927,56,1545,61.1155
19-12-2021,11716,7558,2861,165,4532,59.9630
18-12-2021,11420,9103,3937,233,4933,54.1909
17-12-2021,11950,10153,4643,299,5211,51.3247
16-12-2021,11386,9743,5037,268,4438,45.5507
15-12-2021,12039,10564,5582,155,4827,45.6929
14-12-2021,12250,10651,6412,195,4044,37.9683
13-12-2021,11350,9461,6625,145,2691,28.4431
12-12-2021,7723,6894,5273,100,1521,22.0627
11-12-2021,7210,6541,5363,98,1080,16.5112
10-12-2021,7520,6590,5601,146,843,12.7921
09-12-2021,7156,6333,5521,105,707,11.1637
08-12-2021,7136,6379,5583,147,649,10.1740
07-12-2021,7902,7138,6413,210,515,7.2149
06-12-2021,7645,6915,6425,153,337,4.8735
05-12-2021,5450,5106,4828,111,167,3.2707
04-12-2021,5577,5230,4978,141,111,2.1224
03-12-2021,5651,5037,4871,91,75,1.4890
02-12-2021,5040,4430,4232,136,62,1.3995
01-12-2021,4910,4332,4190,65,77,1.7775
30-11-2021,5934,5250,5157,69,24,0.4571
29-11-2021,5540,4889,4791,86,12,0.2454
28-11-2021,4242,3916,3824,81,11,0.2809
27-11-2021,4219,3975,3916,56,3,0.0755
