objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,447157,531476,-1.27023005,54.67615891,93559511.0002469,71707.4075227013
2,E06000002,Middlesbrough, ,451141,516887,-1.21098995,54.5446701,53888581.6124342,43840.8665608236
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00610995,54.56752014,244820282.117054,97993.3910122914
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30668998,54.55691147,204962233.083279,119581.595543308
5,E06000005,Darlington, ,428029,515649,-1.56834996,54.5353508,197475687.800562,107206.401693943
6,E06000006,Halton, ,354246,382146,-2.68852997,53.33423996,79084033.7253487,77771.106894392
7,E06000007,Warrington, ,362744,388456,-2.56167006,53.39162827,180627988.910432,114690.891219932
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.46359992,53.70080185,137022078.053173,65284.9927535037
9,E06000009,Blackpool, ,332763,436633,-3.02284002,53.8216095,34851505.9599518,34940.0407731734
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.30379999,53.76979065,71449804.5821713,64387.3336767624
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66202998,53.88122177,2406491187.79288,505424.507597465
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13926999,53.52336121,191863775.605382,86544.624038603
13,E06000013,North Lincolnshire, ,497798,410996,-0.52410001,53.58644867,846296607.206212,241106.75898424
14,E06000014,York, ,460864,452589,-1.07375002,53.96582031,271936983.748432,101957.577301945
15,E06000015,Derby, ,435609,335375,-1.47188997,52.91463852,78031123.3409046,50037.747756246
16,E06000016,Leicester, ,458946,304594,-1.13039994,52.63592148,73342074.9919601,51932.0062305591
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.66764832,393748910.414217,125885.1960914
18,E06000018,Nottingham, ,456082,339969,-1.16666996,52.9541893,74613562.6312785,58724.2325992684
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931003,52.08153915,2179709445.3573,349889.421286463
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48940992,52.71416855,290313548.622944,118780.050360348
